Distance_(cm), NH2OH_Sens_HOF_HCCO_(), NH2OH_Sens_HOF_CH2CO_(), NH2OH_Sens_HOF_HCCOH_(), NH2OH_Sens_HOF_N_(), NH2OH_Sens_HOF_NH_(), NH2OH_Sens_HOF_NH2_(), NH2OH_Sens_HOF_NH3_(), NH2OH_Sens_HOF_NNH_(), NH2OH_Sens_HOF_NO_(), NH2OH_Sens_HOF_NO2_(), NH2OH_Sens_HOF_N2O_(), NH2OH_Sens_HOF_HNO_(), NH2OH_Sens_HOF_CN_(), NH2OH_Sens_HOF_HCN_(), NH2OH_Sens_HOF_H2CN_(), NH2OH_Sens_HOF_HCNN_(), NH2OH_Sens_HOF_HCNO_(), NH2OH_Sens_HOF_HOCN_(), NH2OH_Sens_HOF_HNCO_(), NH2OH_Sens_HOF_NCO_(), NH2OH_Sens_HOF_N2_(), NH2OH_Sens_HOF_C3H8_(), NH2OH_Sens_HOF_CH2CHO_(), NH2OH_Sens_HOF_CH3CHO_(), NH2OH_Sens_HOF_H2NO_(), NH2OH_Sens_HOF_N2H2_(), NH2OH_Sens_HOF_HONO_(), NH2OH_Sens_HOF_N2H3_(), NH2OH_Sens_HOF_N2H4_(), NH2OH_Sens_HOF_NH2OH_()
0.000000e+00, -6.385426e-03, 3.142691e-02, 0.000000e+00, 1.298907e-02, -3.728486e+00, -6.669027e+01, 3.552012e+00, 2.733341e+00, 9.628341e-01, 1.989721e-02, 1.584559e-01, -3.617080e+00, -5.160776e-02, 6.890599e-03, 0.000000e+00, 0.000000e+00, 3.836115e-02, 0.000000e+00, -3.460994e-02, -4.984879e-02, 1.874634e-01, 4.824795e-03, 0.000000e+00, 0.000000e+00, -2.585820e-03, -2.412700e+03, 1.025111e-01, 1.663408e+03, 3.650936e+01, -3.763447e-02
2.564103e-02, -6.385426e-03, 3.142691e-02, 0.000000e+00, 1.298907e-02, -3.728486e+00, -6.669027e+01, 3.552012e+00, 2.733341e+00, 9.628341e-01, 1.989721e-02, 1.584559e-01, -3.617080e+00, -5.160776e-02, 6.890599e-03, 0.000000e+00, 0.000000e+00, 3.836115e-02, 0.000000e+00, -3.460994e-02, -4.984879e-02, 1.874634e-01, 4.824795e-03, 0.000000e+00, 0.000000e+00, -2.585820e-03, -2.412700e+03, 1.025111e-01, 1.663408e+03, 3.650936e+01, -3.763447e-02
5.128205e-02, -6.404703e-03, 3.152183e-02, 0.000000e+00, 1.302836e-02, -3.739741e+00, -6.689136e+01, 3.562740e+00, 2.741594e+00, 9.657569e-01, 1.995717e-02, 1.589340e-01, -3.628011e+00, -5.176256e-02, 6.911170e-03, 0.000000e+00, 0.000000e+00, 3.847606e-02, 0.000000e+00, -3.471454e-02, -4.999912e-02, 1.880268e-01, 4.839356e-03, 0.000000e+00, 0.000000e+00, -2.593613e-03, -2.418961e+03, 1.028202e-01, 1.667714e+03, 3.661943e+01, -3.774795e-02
7.692308e-02, -6.488281e-03, 3.193335e-02, 0.000000e+00, 1.319870e-02, -3.788539e+00, -6.776322e+01, 3.609255e+00, 2.777373e+00, 9.784283e-01, 2.021711e-02, 1.610065e-01, -3.675403e+00, -5.243378e-02, 7.000372e-03, 0.000000e+00, 0.000000e+00, 3.897433e-02, 0.000000e+00, -3.516805e-02, -5.065089e-02, 1.904695e-01, 4.902486e-03, 0.000000e+00, 0.000000e+00, -2.627401e-03, -2.446107e+03, 1.041603e-01, 1.686383e+03, 3.709668e+01, -3.823991e-02
1.025641e-01, -6.852688e-03, 3.372740e-02, 0.000000e+00, 1.394101e-02, -4.001307e+00, -7.156591e+01, 3.812033e+00, 2.933370e+00, 1.033591e+00, 2.135110e-02, 1.700446e-01, -3.881974e+00, -5.536562e-02, 7.390521e-03, 0.000000e+00, 0.000000e+00, 4.115158e-02, 0.000000e+00, -3.714479e-02, -5.349354e-02, 2.011335e-01, 5.177765e-03, 0.000000e+00, 1.038441e-03, -2.774791e-03, -2.564508e+03, 1.100055e-01, 1.767811e+03, 3.917830e+01, -4.038570e-02
1.282051e-01, -8.867736e-03, 4.364692e-02, 0.000000e+00, 1.804391e-02, -5.177860e+00, -9.259911e+01, 4.933208e+00, 3.795966e+00, 1.338248e+00, 2.762432e-02, 2.200309e-01, -5.023980e+00, -7.160102e-02, 9.553305e-03, 1.119009e-03, 0.000000e+00, 5.321193e-02, 0.000000e+00, -4.807267e-02, -6.921617e-02, 2.601617e-01, 6.700076e-03, 0.000000e+00, 1.343563e-03, -3.590121e-03, -3.219429e+03, 1.423361e-01, 2.218219e+03, 5.069230e+01, -5.225461e-02
1.538462e-01, 5.610968e-02, -2.762014e-01, -4.779457e-03, -1.142265e-01, 3.276176e+01, 5.857394e+02, -3.121811e+01, -2.401913e+01, -8.479087e+00, -1.747093e-01, -1.391974e+00, 3.179667e+01, 4.523387e-01, -6.028330e-02, -7.077191e-03, 1.076814e-03, -3.360565e-01, -1.797147e-03, 3.042597e-01, 4.378438e-01, -1.644325e+00, -4.239055e-02, -2.863665e-03, -8.497576e-03, 2.270660e-02, 1.790344e+04, -9.003532e-01, -1.230861e+04, -3.206483e+02, 3.305317e-01
1.794872e-01, 2.107991e-03, -1.037855e-02, 0.000000e+00, -4.294914e-03, 1.230790e+00, 2.199477e+01, -1.173075e+00, -9.024162e-01, -3.192807e-01, -6.558537e-03, -5.227941e-02, 1.195078e+00, 1.694884e-02, -2.254343e-03, 0.000000e+00, 0.000000e+00, -1.258486e-02, 0.000000e+00, 1.143616e-02, 1.644212e-02, -6.166017e-02, -1.592353e-03, 0.000000e+00, 0.000000e+00, 0.000000e+00, 3.494565e+02, -3.380867e-02, -2.362161e+02, -1.203998e+01, 1.241117e-02
2.051282e-01, 1.305399e-03, -6.426803e-03, 0.000000e+00, -2.659232e-03, 7.621872e-01, 1.362192e+01, -7.264110e-01, -5.588324e-01, -1.976263e-01, -4.062105e-03, -3.237667e-02, 7.400030e-01, 1.050149e-02, -1.397352e-03, 0.000000e+00, 0.000000e+00, -7.798450e-03, 0.000000e+00, 7.081300e-03, 1.018291e-02, -3.819864e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 8.863799e+01, -2.093856e-02, -5.684209e+01, -7.456730e+00, 7.686607e-03
2.307692e-01, 1.115072e-03, -5.488255e-03, 0.000000e+00, -2.268710e-03, 6.510914e-01, 1.164453e+01, -6.203104e-01, -4.773324e-01, -1.682326e-01, -3.473932e-03, -2.766871e-02, 6.317081e-01, 9.006248e-03, -1.201925e-03, 0.000000e+00, 0.000000e+00, -6.693629e-03, 0.000000e+00, 6.044554e-03, 8.704024e-03, -3.272157e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.685205e+01, -1.789907e-02, -1.434714e+01, -6.374694e+00, 6.571155e-03
2.564103e-01, 1.055465e-03, -5.192428e-03, 0.000000e+00, -2.142908e-03, 6.163378e-01, 1.103611e+01, -5.868455e-01, -4.517790e-01, -1.583039e-01, -3.294824e-03, -2.620997e-02, 5.972908e-01, 8.582733e-03, -1.151085e-03, 0.000000e+00, 0.000000e+00, -6.387789e-03, 0.000000e+00, 5.714517e-03, 8.248089e-03, -3.112136e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 7.775785e+00, -1.696383e-02, -1.225768e+00, -6.042259e+00, 6.228379e-03
2.820513e-01, 1.034828e-03, -5.087634e-03, 0.000000e+00, -2.094971e-03, 6.043540e-01, 1.083904e+01, -5.749629e-01, -4.428949e-01, -1.539611e-01, -3.239187e-03, -2.572455e-02, 5.847465e-01, 8.492120e-03, -1.146453e-03, 0.000000e+00, 0.000000e+00, -6.332166e-03, 0.000000e+00, 5.593551e-03, 8.099266e-03, -3.071136e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.598360e+00, -1.666087e-02, 3.023740e+00, -5.935214e+00, 6.117909e-03
3.076923e-01, 1.026462e-03, -5.042423e-03, 0.000000e+00, -2.070494e-03, 5.995525e-01, 1.077479e+01, -5.698050e-01, -4.392512e-01, -1.511580e-01, -3.223978e-03, -2.555039e-02, 5.789379e-01, 8.519920e-03, -1.159517e-03, 0.000000e+00, 0.000000e+00, -6.367524e-03, 0.000000e+00, 5.536799e-03, 8.049345e-03, -3.071108e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, -3.823130e-01, -1.656209e-02, 4.386428e+00, -5.901098e+00, 6.082584e-03
